MLBID,MLBNAME
527043,Jefry Marte
606466,Ketel Marte
516782,Starling Marte
593372,Carlos Martinez
502110,J.D. Martinez
500874,Jose Martinez
547982,Leonys Martin
605361,Nick Martini
431145,Russell Martin
400121,Victor Martinez
425772,Jeff Mathis
571927,Steven Matz
408045,Joe Mauer
622194,Bruce Maxwell
457727,Cameron Maybin
608577,Nomar Mazara
435263,Brian McCann
543510,James McCann
435221,Brandon McCarthy
621121,Lance McCullers
457705,Andrew McCutchen
641856,Billy McKinney
641857,Ryan McMahon
643446,Jeff McNeil
640457,Austin Meadows
450665,Kris Medlen
606167,Adalberto Mejia
642336,Francisco Mejia
622795,Yohander Mendez
596043,Daniel Mengden
474568,Jordy Mercer
593160,Whit Merrifield
519023,Devin Mesoraco
571945,Miles Mikolas
489119,Wade Miley
543543,Brad Miller
571946,Shelby Miller
621219,Alec Mills
543548,Tommy Milone
571951,Bryan Mitchell
425877,Yadier Molina
660162,Yoan Moncada
609275,Adalberto Mondesi
593423,Frankie Montas
471083,Miguel Montero
543557,Mike Montgomery
446192,Adam Moore
434778,Kendrys Morales
592567,Colin Moran
519048,Mitch Moreland
621559,Max Moroff
489149,Logan Morrison
453344,Brandon Morrow
450203,Charlie Morton
600301,Taylor Motter
519058,Mike Moustakas
656775,Cedric Mullins
571970,Max Muncy
622168,Yairo Munoz
502517,Daniel Murphy
571974,John Ryan Murphy
608596,Tom Murphy
605397,Joe Musgrove
571976,Wil Myers
571980,Tyler Naquin
553882,Omar Narvaez
519068,Efren Navarro
502117,Kristopher Negron
656794,Sean Newcomb
621028,Kevin Newman
547912,Gift Ngoepe
607043,Brandon Nimmo
656798,Jacob Nix
605400,Aaron Nola
596057,Daniel Norris
641924,Jacob Nottingham
467100,Ivan Nova
456488,Eduardo Nunez
600524,Renato Nunez
598284,Peter O'Brien
543606,Jake Odorizzi
596059,Rougned Odor
656811,Ryan O'Hearn
660271,Shohei Ohtani
621566,Matt Olson
641933,Tyler O'Neill
449181,Paulo Orlando
542364,Rafael Ortega
591741,Jose Osuna
621261,Corey Oswalt
572008,Chris Owings
542303,Marcell Ozuna
594953,Daniel Palka
605412,Joe Panik
467827,Gerardo Parra
456665,Steve Pearce
592626,Joc Pederson
456030,Dustin Pedroia
570240,Felix Pena
452254,Hunter Pence
460060,Cliff Pennington
444482,David Peralta
642547,Freddy Peralta
593974,Wandy Peralta
606299,Jose Peraza
606131,Luis Perdomo
542208,Carlos Perez
541650,Hernan Perez
527048,Martin Perez
547379,Roberto Perez
521692,Salvador Perez
596071,Dillon Peters
607054,Jace Peterson
463610,Gregorio Petit
502593,Jake Petricka
502054,Tommy Pham
572033,Josh Phegley
408252,Brandon Phillips
621433,Brett Phillips
607680,Kevin Pillar
444489,Manny Pina
640461,Chad Pinder
517369,Jose Pirela
572039,Stephen Piscotty
601713,Nick Pivetta
608700,Kevin Plawecki
461858,Trevor Plouffe
592644,Adam Plutko
570256,Gregory Polanco
593871,Jorge Polanco
572041,A.J. Pollock
592647,Dalton Pompey
594965,Daniel Poncedeleon
519144,Rick Porcello
457763,Buster Posey
621471,Boog Powell
445988,Martin Prado
595777,Jurickson Profar
624577,Yasiel Puig
405395,Albert Pujols
596451,Roman Quinn
500779,Jose Quintana
541640,Erasmo Ramirez
434670,Hanley Ramirez
608070,Jose Ramirez
606162,Yefry Ramirez
467092,Wilson Ramos
458675,Colby Rasmus
592662,Robbie Ray
592663,J.T. Realmuto
502210,Josh Reddick
642003,Cody Reed
605439,Michael Reed
608701,Rob Refsnyder
543685,Anthony Rendon
592669,Hunter Renfroe
621052,Alex Reyes
614177,Franmil Reyes
408314,Jose Reyes
622569,Pablo Reyes
622682,Victor Reyes
448602,Mark Reynolds
608703,Matt Reynolds
453385,Clayton Richard
670950,Trevor Richards
572073,Joey Rickard
595375,J.T. Riddle
553878,Felipe Vazquez
425784,Rene Rivera
519203,Anthony Rizzo
543699,Tanner Roark
621002,Daniel Robertson
592685,Drew Robinson
453203,Shane Robinson
570663,Hansel Robles
645302,Victor Robles
605446,Dereck Rodriguez
593958,Eduardo Rodriguez
500135,Ronny Rodriguez
446481,Sean Rodriguez
500743,Miguel Rojas
607219,Sal Romano
544836,Enny Romero
622864,Fernando Romero
461865,Andrew Romine
519222,Austin Romine
489265,Sergio Romo
407822,Jorge De La Rosa
489267,Adam Rosales
642708,Amed Rosario
592696,Eddie Rosario
605452,Joe Ross
475115,Tyson Ross
607387,Ryan Rua
547004,Rio Ruiz
543734,Chris Rusin
608365,Addison Russell
547943,Hyun-Jin-Ryu
573135,Tyler Saladino
519242,Chris Sale
457454,Jarrod Saltalamacchia
502188,Jeff Samardzija
592717,Aaron Sanchez
434671,Anibal Sanchez
570560,Yolmer Sanchez
596142,Gary Sanchez
467055,Pablo Sandoval
593934,Miguel Sano
623993,Anthony Santander
467793,Carlos Santana
542454,Danny Santana
570267,Domingo Santana
502327,Hector Santiago
596143,Luis Sardinas
594988,Scott Schebler
453286,Max Scherzer
572114,Ryan Schimpf
570731,Jonathan Schoop
656941,Kyle Schwarber
608369,Corey Seager
572122,Kyle Seager
516416,Jean Segura
543760,Marcus Semien
622608,Antonio Senzatela
622663,Luis Severino
600474,Pedro Severino
623149,Paul Sewald
594992,Kevin Shackelford
622046,Chris Shaw
543768,Travis Shaw
448306,James Shields
640463,Braden Shipley
543776,J.B. Shuck
642423,Magnueris Sierra
501213,Moises Sierra
592743,Andrelton Simmons
608371,Lucas Sims
642082,Chance Sisco
607215,Eric Skoglund
596103,Austin Slater
